Turbidity	Conductivity	Temperature	Depth
1023	1023	1023	446
647	558	494	616
679	616	614	655
628	590	597	530
213	274	243	37
203	192	180	311
220	201	188	354
362	337	321	468
497	463	445	553
430	298	221	507
510	327	218	621
121	101	84	245
448	416	405	321
218	218	226	262
269	275	279	291
335	374	419	290
130	115	147	311
371	364	367	343
332	327	328	327
301	298	298	335
342	330	325	322
303	294	292	322
320	308	305	321
307	298	295	308
396	404	398	409
253	252	243	258
309	299	294	287
459	449	447	392
359	354	359	358
294	289	294	326
234	223	225	300
295	274	241	286
182	171	167	272
686	626	583	479
525	506	489	444
388	371	362	392
410	407	397	408
395	380	372	386
362	351	345	365
359	346	341	362
329	320	330	349
349	338	333	354
313	308	305	335
332	322	317	337
337	327	323	346
341	332	326	351
315	314	316	323
223	202	186	337
371	353	337	360
340	328	325	355
351	340	332	353
345	335	329	350
320	315	313	317
331	323	320	333
207	230	219	190
343	249	143	373
193	142	91	295
407	557	736	582
701	655	661	569
			
547	541	553	522
481	477	485	479
420	413	417	431
365	358	369	394
360	354	351	372
347	340	338	359
339	333	330	351
334	328	325	347
333	328	324	344
331	325	322	343
329	323	319	340
328	322	319	339
314	322	311	340
328	322	319	338
328	321	318	339
328	321	317	339
327	320	317	339
331	323	318	339
329	321	317	339
327	320	317	337
327	319	316	338
329	306	308	339
329	321	317	339
328	321	316	339
328	319	316	338
327	319	316	340
330	322	317	339
326	318	314	336
326	321	317	338
346	351	357	357
319	306	298	345
331	320	312	344
340	330	325	345
337	327	325	338
316	311	309	336
711	843	916	564
215	263	276	308
604	616	613	514
412	390	372	114
288	247	204	398
190	160	129	233
323	309	299	333
391	393	400	401
373	367	374	397
338	330	336	369
321	299	291	364
329	311	300	356
311	295	288	271
338	350	354	375
508	519	528	469
516	507	509	511
475	450	446	443
431	414	411	411
389	378	389	399
401	385	377	373
351	341	335	359
356	347	342	372
371	356	348	377
344	340	334	347
315	305	301	358
394	380	372	352
329	319	316	341
318	308	315	369
316	299	288	328
318	309	303	343
360	344	334	347
337	325	318	351
324	304	290	330
354	340	331	360
349	339	333	388
361	345	335	363
320	307	303	387
330	315	304	339
311	300	292	330
191	219	236	426
303	175	100	58
853	896	940	800
856	897	931	781
660	651	659	649
602	594	599	595
510	494	492	520
425	394	380	433
423	407	400	425
366	341	325	373
357	339	329	364
353	337	330	357
346	333	325	352
342	330	323	348
338	327	320	346
321	325	310	345
336	325	319	343
334	323	317	342
333	323	317	344
332	321	316	343
332	321	315	343
334	322	316	341
333	322	316	341
334	323	317	343
317	308	317	342
333	323	316	341
332	321	316	343
332	321	316	340
331	321	315	340
328	315	307	335
329	318	313	338
333	323	318	341
302	294	294	333
331	321	315	338
332	323	318	341
331	321	316	340
331	321	316	342
320	311	320	343
327	317	311	343
331	321	315	340
333	323	318	341
324	316	326	345
339	330	325	346
